Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
0,0,0,0,0,5911
1,1,0,1,0,4887
2,2,0,0,0,15222
3,3,0,1,0,15222
4,4,0,0,0,15347
5,5,0,1,0,13299
6,6,0,0,0,6083
7,7,0,1,0,6083
8,8,0,0,0,9508
9,9,0,1,0,9508
10,10,0,0,0,5903
11,11,0,1,0,4879
12,12,0,0,0,15226
13,13,0,1,0,15226
14,14,0,0,0,15379
15,15,0,1,0,13331
16,16,0,0,0,6071
17,17,0,1,0,6071
18,18,0,0,0,9475
19,19,0,1,0,9475
20,20,0,0,0,5916
21,21,0,1,0,4892
22,22,0,0,0,15232
23,23,0,1,0,15232
24,24,0,0,0,15379
25,25,0,1,0,13331
26,26,0,0,0,6098
27,27,0,1,0,6098
28,28,0,0,0,9540
29,29,0,1,0,9540
30,30,0,0,0,5944
31,31,0,1,0,4920
32,32,0,0,0,15224
33,33,0,1,0,15224
34,34,0,0,0,15379
35,35,0,1,0,13331
36,36,0,0,0,6076
37,37,0,1,0,6076
38,38,0,0,0,9527
39,39,0,1,0,9527
40,40,0,0,0,5897
41,41,0,1,0,4873
42,42,0,0,0,15220
43,43,0,1,0,15220
44,44,0,0,0,15348
45,45,0,1,0,13300
46,46,0,0,0,6081
47,47,0,1,0,6081
48,48,0,0,0,9527
49,49,0,1,0,9527
50,50,0,0,0,5916
51,51,0,1,0,4892
52,52,0,0,0,15222
53,53,0,1,0,15222
54,54,0,0,0,15353
55,55,0,1,0,13305
56,56,0,0,0,6115
57,57,0,1,0,6115
58,58,0,0,0,9546
59,59,0,1,0,9546
60,60,0,0,0,5899
61,61,0,1,0,4875
62,62,0,0,0,15244
63,63,0,1,0,15244
64,64,0,0,0,15358
65,65,0,1,0,13310
66,66,0,0,0,6067
67,67,0,1,0,6067
68,68,0,0,0,9526
69,69,0,1,0,9526
70,70,0,0,0,5896
71,71,0,1,0,4872
72,72,0,0,0,15197
73,73,0,1,0,15197
74,74,0,0,0,15375
75,75,0,1,0,13327
76,76,0,0,0,6096
77,77,0,1,0,6096
78,78,0,0,0,9506
79,79,0,1,0,9506
80,80,0,0,0,5896
81,81,0,1,0,4872
82,82,0,0,0,15255
83,83,0,1,0,15255
84,84,0,0,0,15376
85,85,0,1,0,13328
86,86,0,0,0,6062
87,87,0,1,0,6062
88,88,0,0,0,9509
89,89,0,1,0,9509
90,90,0,0,0,5878
91,91,0,1,0,4854
92,92,0,0,0,15220
93,93,0,1,0,15220
94,94,0,0,0,15371
95,95,0,1,0,13323
96,96,0,0,0,6064
97,97,0,1,0,6064
98,98,0,0,0,9512
99,99,0,1,0,9512
100,100,0,0,0,5902
101,101,0,1,0,4878
102,102,0,0,0,15224
103,103,0,1,0,15224
104,104,0,0,0,15402
105,105,0,1,0,13354
106,106,0,0,0,6087
107,107,0,1,0,6087
108,108,0,0,0,9550
109,109,0,1,0,9550
110,110,0,0,0,5936
111,111,0,1,0,4912
112,112,0,0,0,15257
113,113,0,1,0,15257
114,114,0,0,0,15382
115,115,0,1,0,13334
116,116,0,0,0,6067
117,117,0,1,0,6067
118,118,0,0,0,9534
119,119,0,1,0,9534
120,120,0,0,0,5926
121,121,0,1,0,4902
122,122,0,0,0,15269
123,123,0,1,0,15269
124,124,0,0,0,15363
125,125,0,1,0,13315
126,126,0,0,0,6097
127,127,0,1,0,6097
128,128,0,0,0,9546
129,129,0,1,0,9546
130,130,0,0,0,5913
131,131,0,1,0,4889
132,132,0,0,0,15237
133,133,0,1,0,15237
134,134,0,0,0,15432
135,135,0,1,0,13384
136,136,0,0,0,6111
137,137,0,1,0,6111
138,138,0,0,0,9523
139,139,0,1,0,9523
140,140,0,0,0,5921
141,141,0,1,0,4897
142,142,0,0,0,15210
143,143,0,1,0,15210
144,144,0,0,0,15368
145,145,0,1,0,13320
146,146,0,0,0,6067
147,147,0,1,0,6067
148,148,0,0,0,9534
149,149,0,1,0,9534
150,150,0,0,0,5917
151,151,0,1,0,4893
152,152,0,0,0,15255
153,153,0,1,0,15255
154,154,0,0,0,15378
155,155,0,1,0,13330
156,156,0,0,0,6069
157,157,0,1,0,6069
158,158,0,0,0,9540
159,159,0,1,0,9540
160,160,0,0,0,5899
161,161,0,1,0,4875
162,162,0,0,0,15226
163,163,0,1,0,15226
164,164,0,0,0,15383
165,165,0,1,0,13335
166,166,0,0,0,6067
167,167,0,1,0,6067
168,168,0,0,0,9508
169,169,0,1,0,9508
170,170,0,0,0,5900
171,171,0,1,0,4876
172,172,0,0,0,15238
173,173,0,1,0,15238
174,174,0,0,0,15412
175,175,0,1,0,13364
176,176,0,0,0,6097
177,177,0,1,0,6097
178,178,0,0,0,9522
179,179,0,1,0,9522
180,180,0,0,0,5920
181,181,0,1,0,4896
182,182,0,0,0,15237
183,183,0,1,0,15237
184,184,0,0,0,15361
185,185,0,1,0,13313
186,186,0,0,0,6092
187,187,0,1,0,6092
188,188,0,0,0,9501
189,189,0,1,0,9501
190,190,0,0,0,5894
191,191,0,1,0,4870
