Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_ad_if/inst/probe0_1[13:0],block_design_i/system_ila_ad_if/inst/probe1_1,block_design_i/system_ila_ad_if/inst/probe2_1[13:0],block_design_i/system_ila_ad_if/inst/probe3_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,SIGNED,HEX
0,0,0,-7459,1,3317,00000001
1,1,0,3317,1,-7567,00000001
2,2,0,-7567,1,-4847,00000001
3,3,0,-4847,1,-7442,00000001
4,4,0,-7442,1,3321,00000001
5,5,0,3321,1,-7569,00000001
6,6,0,-7569,1,-4841,00000001
7,7,0,-4841,1,-7439,00000001
8,8,0,-7439,1,3313,00000001
9,9,0,3313,1,-7572,00000001
10,10,0,-7572,1,-4848,00000001
11,11,0,-4848,1,-7439,00000001
12,12,0,-7439,1,3318,00000001
13,13,0,3318,1,-7577,00000001
14,14,0,-7577,1,-4846,00000001
15,15,0,-4846,1,-7434,00000001
16,16,0,-7434,1,3310,00000001
17,17,0,3310,1,-7580,00000001
18,18,0,-7580,1,-4835,00000001
19,19,0,-4835,1,-7436,00000001
20,20,0,-7436,1,3304,00000001
21,21,0,3304,1,-7572,00000001
22,22,0,-7572,1,-4835,00000001
23,23,0,-4835,1,-7449,00000001
24,24,0,-7449,1,3310,00000001
25,25,0,3310,1,-7570,00000001
26,26,0,-7570,1,-4844,00000001
27,27,0,-4844,1,-7445,00000001
28,28,0,-7445,1,3313,00000001
29,29,0,3313,1,-7564,00000001
30,30,0,-7564,1,-4840,00000001
31,31,0,-4840,1,-7449,00000001
32,32,0,-7449,1,3316,00000001
33,33,0,3316,1,-7565,00000001
34,34,0,-7565,1,-4836,00000001
35,35,0,-4836,1,-7466,00000001
36,36,0,-7466,1,3314,00000001
37,37,0,3314,1,-7548,00000001
38,38,0,-7548,1,-4843,00000001
39,39,0,-4843,1,-7475,00000001
40,40,0,-7475,1,3323,00000001
41,41,0,3323,1,-7546,00000001
42,42,0,-7546,1,-4838,00000001
43,43,0,-4838,1,-7475,00000001
44,44,0,-7475,1,3320,00000001
45,45,0,3320,1,-7545,00000001
46,46,0,-7545,1,-4836,00000001
47,47,0,-4836,1,-7484,00000001
48,48,0,-7484,1,3317,00000001
49,49,0,3317,1,-7535,00000001
50,50,0,-7535,1,-4843,00000001
51,51,0,-4843,1,-7489,00000001
52,52,0,-7489,1,3319,00000001
53,53,0,3319,1,-7537,00000001
54,54,0,-7537,1,-4840,00000001
55,55,0,-4840,1,-7482,00000001
56,56,0,-7482,1,3325,00000001
57,57,0,3325,1,-7538,00000001
58,58,0,-7538,1,-4839,00000001
59,59,0,-4839,1,-7485,00000001
60,60,0,-7485,1,3325,00000001
61,61,0,3325,1,-7539,00000001
62,62,0,-7539,1,-4837,00000001
63,63,0,-4837,1,-7489,00000001
64,64,0,-7489,1,3325,00000001
65,65,0,3325,1,-7535,00000001
66,66,0,-7535,1,-4840,00000001
67,67,0,-4840,1,-7488,00000001
68,68,0,-7488,1,3325,00000001
69,69,0,3325,1,-7527,00000001
70,70,0,-7527,1,-4842,00000001
71,71,0,-4842,1,-7495,00000001
72,72,0,-7495,1,3325,00000001
73,73,0,3325,1,-7538,00000001
74,74,0,-7538,1,-4840,00000001
75,75,0,-4840,1,-7488,00000001
76,76,0,-7488,1,3321,00000001
77,77,0,3321,1,-7541,00000001
78,78,0,-7541,1,-4840,00000001
79,79,0,-4840,1,-7486,00000001
80,80,0,-7486,1,3324,00000001
81,81,0,3324,1,-7535,00000001
82,82,0,-7535,1,-4844,00000001
83,83,0,-4844,1,-7474,00000001
84,84,0,-7474,1,3324,00000001
85,85,0,3324,1,-7550,00000001
86,86,0,-7550,1,-4839,00000001
87,87,0,-4839,1,-7481,00000001
88,88,0,-7481,1,3319,00000001
89,89,0,3319,1,-7544,00000001
90,90,0,-7544,1,-4844,00000001
91,91,0,-4844,1,-7472,00000001
92,92,0,-7472,1,3322,00000001
93,93,0,3322,1,-7553,00000001
94,94,0,-7553,1,-4840,00000001
95,95,0,-4840,1,-7462,00000001
96,96,0,-7462,1,3316,00000001
97,97,0,3316,1,-7559,00000001
98,98,0,-7559,1,-4844,00000001
99,99,0,-4844,1,-7454,00000001
100,100,0,-7454,1,3318,00000001
101,101,0,3318,1,-7567,00000001
102,102,0,-7567,1,-4845,00000001
103,103,0,-4845,1,-7451,00000001
104,104,0,-7451,1,3315,00000001
105,105,0,3315,1,-7570,00000001
106,106,0,-7570,1,-4841,00000001
107,107,0,-4841,1,-7439,00000001
108,108,0,-7439,1,3312,00000001
109,109,0,3312,1,-7570,00000001
110,110,0,-7570,1,-4843,00000001
111,111,0,-4843,1,-7442,00000001
112,112,0,-7442,1,3312,00000001
113,113,0,3312,1,-7573,00000001
114,114,0,-7573,1,-4848,00000001
115,115,0,-4848,1,-7442,00000001
116,116,0,-7442,1,3310,00000001
117,117,0,3310,1,-7568,00000001
118,118,0,-7568,1,-4846,00000001
119,119,0,-4846,1,-7443,00000001
120,120,0,-7443,1,3313,00000001
121,121,0,3313,1,-7570,00000001
122,122,0,-7570,1,-4839,00000001
