Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
0,0,0,0,0,2067
1,1,0,0,0,641
2,2,0,0,0,2057
3,3,0,0,0,7827
4,4,0,0,0,10449
5,5,0,0,0,14220
6,6,0,0,0,15665
7,7,0,0,0,14346
8,8,0,0,0,10618
9,9,0,0,0,7923
10,10,0,0,0,2081
11,11,0,0,0,679
12,12,0,0,0,2080
13,13,0,0,0,7850
14,14,0,0,0,10441
15,15,0,0,0,16259
16,16,0,0,0,15690
17,17,0,0,0,14358
18,18,0,0,0,10604
19,19,0,0,0,7917
20,20,0,0,0,2080
21,21,0,0,0,663
22,22,0,0,0,2081
23,23,0,0,0,7844
24,24,0,0,0,10481
25,25,0,0,0,16284
26,26,0,0,0,15681
27,27,0,0,0,14373
28,28,0,0,0,10628
29,29,0,0,0,7896
30,30,0,0,0,2069
31,31,0,0,0,632
32,32,0,0,0,2069
33,33,0,0,0,7839
34,34,0,0,0,10422
35,35,0,0,0,16249
36,36,0,0,0,15682
37,37,0,0,0,14349
38,38,0,0,0,10597
39,39,0,0,0,7932
40,40,0,0,0,2070
41,41,0,0,0,635
42,42,0,0,0,2069
43,43,0,0,0,7839
44,44,0,0,0,10448
45,45,0,0,0,14212
46,46,0,0,0,15698
47,47,0,0,0,14372
48,48,0,0,0,10596
49,49,0,0,0,7919
50,50,0,0,0,2067
51,51,0,0,0,661
52,52,0,0,0,2074
53,53,0,0,0,7844
54,54,0,0,0,10438
55,55,0,0,0,14241
56,56,0,0,0,15666
57,57,0,0,0,14349
58,58,0,0,0,10599
59,59,0,0,0,7899
60,60,0,0,0,2045
61,61,0,0,0,692
62,62,0,0,0,2074
63,63,0,0,0,7840
64,64,0,0,0,10431
65,65,0,0,0,14230
66,66,0,0,0,15703
67,67,0,0,0,14368
68,68,0,0,0,10609
69,69,0,0,0,7896
70,70,0,0,0,2057
71,71,0,0,0,671
72,72,0,0,0,2060
73,73,0,0,0,7828
74,74,0,0,0,10434
75,75,0,0,0,14216
76,76,0,0,0,15680
77,77,0,0,0,14356
78,78,0,0,0,10609
79,79,0,0,0,7906
80,80,0,0,0,2057
81,81,0,0,0,681
82,82,0,0,0,2067
83,83,0,0,0,7845
84,84,0,0,0,10426
85,85,0,0,0,14225
86,86,0,0,0,15686
87,87,0,0,0,14359
88,88,0,0,0,10612
89,89,0,0,0,7916
90,90,0,0,0,2077
91,91,0,0,0,655
92,92,0,0,0,2067
93,93,0,0,0,7842
94,94,0,0,0,10472
95,95,0,0,0,14203
96,96,0,0,0,15651
97,97,0,0,0,14355
98,98,0,0,0,10601
99,99,0,0,0,7916
100,100,0,0,0,2057
101,101,0,0,0,660
102,102,0,0,0,2079
103,103,0,0,0,7838
104,104,0,0,0,10433
105,105,0,0,0,14196
106,106,0,0,0,15671
107,107,0,0,0,14354
108,108,0,0,0,10624
109,109,0,0,0,7940
110,110,0,0,0,2072
111,111,0,0,0,663
112,112,0,0,0,2089
113,113,0,0,0,7830
114,114,0,0,0,10441
115,115,0,0,0,14216
116,116,0,0,0,15691
117,117,0,0,0,14353
118,118,0,0,0,10610
119,119,0,0,0,7923
120,120,0,0,0,2090
121,121,0,0,0,661
122,122,0,0,0,2072
123,123,0,0,0,7837
124,124,0,0,0,10420
125,125,0,0,0,14199
126,126,0,0,0,15684
127,127,0,0,0,14358
128,128,0,0,0,10634
129,129,0,0,0,7897
130,130,0,0,0,2067
131,131,0,0,0,654
132,132,0,0,0,2082
133,133,0,0,0,7832
134,134,0,0,0,10464
135,135,0,0,0,14222
136,136,0,0,0,15695
137,137,0,0,0,14352
138,138,0,0,0,10619
139,139,0,0,0,7908
140,140,0,0,0,2059
141,141,0,0,0,645
142,142,0,0,0,2062
143,143,0,0,0,7822
144,144,0,0,0,10419
145,145,0,0,0,14224
146,146,0,0,0,15703
147,147,0,0,0,14339
148,148,0,0,0,10626
149,149,0,0,0,7912
150,150,0,0,0,2073
151,151,0,0,0,677
152,152,0,0,0,2079
153,153,0,0,0,7832
154,154,0,0,0,10415
155,155,0,0,0,14206
156,156,0,0,0,15693
157,157,0,0,0,14366
158,158,0,0,0,10615
159,159,0,0,0,7925
160,160,0,0,0,2069
161,161,0,0,0,668
162,162,0,0,0,2081
163,163,0,0,0,7831
164,164,0,0,0,10447
165,165,0,0,0,14227
166,166,0,0,0,15689
167,167,0,0,0,14356
168,168,0,0,0,10613
169,169,0,0,0,7909
170,170,0,0,0,2040
171,171,0,0,0,660
172,172,0,0,0,2074
173,173,0,0,0,7849
174,174,0,0,0,10426
175,175,0,0,0,14218
176,176,0,0,0,15659
177,177,0,0,0,14363
178,178,0,0,0,10618
179,179,0,0,0,7933
180,180,0,0,0,2096
181,181,0,0,0,670
182,182,0,0,0,2061
183,183,0,0,0,7818
184,184,0,0,0,10429
185,185,0,0,0,14236
186,186,0,0,0,15683
187,187,0,0,0,14350
188,188,0,0,0,10621
189,189,0,0,0,7929
190,190,0,0,0,2073
191,191,0,0,0,675
192,192,0,0,0,2085
193,193,0,0,0,7812
194,194,0,0,0,10451
195,195,0,0,0,16245
196,196,0,0,0,15673
197,197,0,0,0,14362
198,198,0,0,0,10620
199,199,0,0,0,7921
200,200,0,0,0,2070
201,201,0,0,0,658
202,202,0,0,0,2055
203,203,0,0,0,7827
204,204,0,0,0,10435
205,205,0,0,0,14221
206,206,0,0,0,15682
207,207,0,0,0,14367
208,208,0,0,0,10623
209,209,0,0,0,7942
210,210,0,0,0,2068
211,211,0,0,0,673
212,212,0,0,0,2080
213,213,0,0,0,7835
214,214,0,0,0,10442
215,215,0,0,0,14211
216,216,0,0,0,15688
217,217,0,0,0,14357
218,218,0,0,0,10603
219,219,0,0,0,7927
220,220,0,0,0,2073
221,221,0,0,0,655
222,222,0,0,0,2078
223,223,0,0,0,7846
224,224,0,0,0,10424
225,225,0,0,0,14224
226,226,0,0,0,15682
227,227,0,0,0,14387
228,228,0,0,0,10626
229,229,0,0,0,7935
230,230,0,0,0,2070
231,231,0,0,0,665
232,232,0,0,0,2093
233,233,0,0,0,7835
234,234,0,0,0,10436
235,235,0,0,0,14221
236,236,0,0,0,15703
237,237,0,0,0,14351
238,238,0,0,0,10634
239,239,0,0,0,7906
240,240,0,0,0,2084
241,241,0,0,0,663
242,242,0,0,0,2062
243,243,0,0,0,7827
244,244,0,0,0,10431
245,245,0,0,0,14198
246,246,0,0,0,15685
247,247,0,0,0,14370
248,248,0,0,0,10618
249,249,0,0,0,7932
250,250,0,0,0,2080
251,251,0,0,0,670
252,252,0,0,0,2081
253,253,0,0,0,7838
254,254,0,0,0,10455
255,255,0,0,0,14218
256,256,0,0,0,15680
257,257,0,0,0,14358
258,258,0,0,0,10611
259,259,0,0,0,7936
260,260,0,0,0,2070
261,261,0,0,0,676
262,262,0,0,0,2079
263,263,0,0,0,7824
264,264,0,0,0,10419
265,265,0,0,0,14223
266,266,0,0,0,15690
267,267,0,0,0,14352
268,268,0,0,0,10635
269,269,0,0,0,7937
270,270,0,0,0,2076
271,271,0,0,0,650
272,272,0,0,0,2054
273,273,0,0,0,7823
274,274,0,0,0,10420
275,275,0,0,0,14216
276,276,0,0,0,15702
277,277,0,0,0,14372
278,278,0,0,0,10619
279,279,0,0,0,7943
280,280,0,0,0,2082
281,281,0,0,0,650
282,282,0,0,0,2064
283,283,0,0,0,7826
284,284,0,0,0,10442
285,285,0,0,0,14232
286,286,0,0,0,15681
287,287,0,0,0,14359
288,288,0,0,0,10632
289,289,0,0,0,7941
290,290,0,0,0,2083
291,291,0,0,0,671
292,292,0,0,0,2071
