Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
0,0,0,1,0,4697
1,1,0,1,0,2737
2,2,0,0,0,9686
3,3,0,1,0,13959
4,4,0,0,0,9144
5,5,0,1,0,2425
6,6,0,0,0,5338
7,7,0,0,0,12694
8,8,0,0,0,12808
9,9,0,1,0,5377
10,10,0,0,0,2447
11,11,0,0,0,8948
12,12,0,0,0,13970
13,13,0,0,0,9864
14,14,0,1,0,2705
15,15,0,0,0,4693
16,16,0,0,0,12209
17,17,0,0,0,13207
18,18,0,0,0,6076
19,19,0,1,0,2255
20,20,0,0,0,8221
21,21,0,0,0,13863
22,22,0,0,0,10585
23,23,0,0,0,3088
24,24,0,1,0,4113
25,25,0,0,0,11676
26,26,0,0,0,13520
27,27,0,0,0,6832
28,28,0,0,0,2152
29,29,0,1,0,7465
30,30,0,0,0,13693
31,31,0,0,0,11229
32,32,0,0,0,3542
33,33,0,1,0,3573
34,34,0,0,0,11049
35,35,0,0,0,13734
36,36,0,1,0,7611
37,37,0,0,0,2140
38,38,0,1,0,6721
39,39,0,0,0,13421
40,40,0,0,0,11837
41,41,0,0,0,4071
42,42,0,0,0,3116
43,43,0,1,0,10379
44,44,0,0,0,13903
45,45,0,1,0,8367
46,46,0,0,0,2236
47,47,0,1,0,6014
48,48,0,0,0,13086
49,49,0,0,0,12350
50,50,0,0,0,4684
51,51,0,1,0,2751
52,52,0,1,0,9697
53,53,0,0,0,13966
54,54,0,0,0,9142
55,55,0,0,0,2422
56,56,0,1,0,5355
57,57,0,1,0,12695
58,58,0,1,0,12825
59,59,0,1,0,5371
60,60,0,1,0,2467
61,61,0,0,0,8960
62,62,0,0,0,13964
63,63,0,1,0,9867
64,64,0,0,0,2696
65,65,0,1,0,4691
66,66,0,0,0,12202
67,67,0,1,0,13191
68,68,0,0,0,6075
69,69,0,0,0,2240
70,70,0,1,0,8233
71,71,0,0,0,13859
72,72,0,0,0,10569
73,73,0,0,0,3078
74,74,0,1,0,4103
75,75,0,0,0,11655
76,76,0,0,0,13530
77,77,0,1,0,6845
78,78,0,1,0,2163
79,79,0,0,0,7478
80,80,0,1,0,13697
81,81,0,0,0,11234
82,82,0,0,0,3544
83,83,0,1,0,3577
84,84,0,0,0,11040
85,85,0,1,0,13741
86,86,0,0,0,7581
87,87,0,0,0,2146
88,88,0,1,0,6737
89,89,0,0,0,13422
90,90,0,1,0,11805
91,91,0,0,0,4071
92,92,0,0,0,3148
93,93,0,1,0,10401
94,94,0,0,0,13886
95,95,0,1,0,8359
96,96,0,0,0,2243
97,97,0,0,0,6028
98,98,0,1,0,13087
99,99,0,0,0,12343
100,100,0,0,0,4683
101,101,0,0,0,2768
102,102,0,1,0,9693
103,103,0,0,0,13961
104,104,0,0,0,9131
105,105,0,0,0,2438
106,106,0,1,0,5353
107,107,0,0,0,12698
108,108,0,0,0,12820
109,109,0,0,0,5344
110,110,0,0,0,2468
111,111,0,1,0,8973
112,112,0,0,0,13945
113,113,0,0,0,9850
114,114,0,1,0,2697
115,115,0,0,0,4708
116,116,0,0,0,12234
117,117,0,1,0,13211
118,118,0,0,0,6069
119,119,0,0,0,2264
120,120,0,0,0,8258
121,121,0,1,0,13873
122,122,0,0,0,10565
123,123,0,0,0,3054
124,124,0,0,0,4124
125,125,0,0,0,11672
126,126,0,0,0,13516
127,127,0,0,0,6812
128,128,0,1,0,2135
129,129,0,0,0,7500
130,130,0,1,0,13705
131,131,0,0,0,11201
132,132,0,0,0,3528
133,133,0,0,0,3596
134,134,0,0,0,11082
135,135,0,0,0,13736
136,136,0,1,0,7571
137,137,0,0,0,2158
138,138,0,0,0,6758
139,139,0,0,0,13442
140,140,0,0,0,11790
141,141,0,0,0,4064
142,142,0,1,0,3151
143,143,0,0,0,10404
144,144,0,1,0,13895
145,145,0,1,0,8347
146,146,0,0,0,2242
147,147,0,0,0,6060
148,148,0,1,0,13102
149,149,0,1,0,12343
150,150,0,1,0,4669
151,151,0,0,0,2768
152,152,0,1,0,9721
153,153,0,1,0,13965
154,154,0,0,0,9114
155,155,0,1,0,2422
156,156,0,1,0,5368
157,157,0,1,0,12724
158,158,0,0,0,12800
159,159,0,1,0,5329
160,160,0,0,0,2476
161,161,0,1,0,8993
162,162,0,0,0,13974
163,163,0,1,0,9853
164,164,0,1,0,2677
165,165,0,1,0,4731
166,166,0,0,0,12232
167,167,0,1,0,13199
168,168,0,0,0,6044
169,169,0,1,0,2250
170,170,0,1,0,8261
171,171,0,1,0,13858
172,172,0,1,0,10526
173,173,0,1,0,3056
174,174,0,1,0,4141
175,175,0,0,0,11672
176,176,0,1,0,13511
177,177,0,0,0,6788
178,178,0,1,0,2145
179,179,0,1,0,7511
180,180,0,1,0,13701
181,181,0,0,0,11192
182,182,0,1,0,3517
183,183,0,1,0,3599
184,184,0,1,0,11073
185,185,0,0,0,13725
186,186,0,1,0,7561
187,187,0,0,0,2142
188,188,0,1,0,6776
189,189,0,1,0,13455
190,190,0,1,0,11793
191,191,0,0,0,4056
192,192,0,1,0,3143
193,193,0,1,0,10421
194,194,0,0,0,13912
195,195,0,1,0,8323
196,196,0,1,0,2223
197,197,0,1,0,6063
198,198,0,0,0,13106
199,199,0,1,0,12327
200,200,0,0,0,4670
201,201,0,1,0,2779
202,202,0,0,0,9734
203,203,0,1,0,13969
204,204,0,1,0,9099
205,205,0,1,0,2417
206,206,0,1,0,5378
207,207,0,1,0,12731
208,208,0,1,0,12795
209,209,0,1,0,5331
210,210,0,0,0,2482
211,211,0,1,0,9008
212,212,0,1,0,13962
213,213,0,1,0,9831
214,214,0,0,0,2688
215,215,0,1,0,4726
216,216,0,1,0,12227
217,217,0,1,0,13169
218,218,0,1,0,6027
219,219,0,1,0,2271
220,220,0,0,0,8264
221,221,0,1,0,13867
222,222,0,1,0,10536
223,223,0,1,0,3046
224,224,0,1,0,4129
225,225,0,0,0,11680
226,226,0,1,0,13504
227,227,0,1,0,6786
228,228,0,1,0,2165
229,229,0,1,0,7516
230,230,0,1,0,13687
231,231,0,0,0,11184
232,232,0,1,0,3509
233,233,0,1,0,3605
234,234,0,1,0,11090
235,235,0,1,0,13730
236,236,0,1,0,7562
237,237,0,1,0,2150
238,238,0,1,0,6777
239,239,0,1,0,13453
240,240,0,1,0,11787
241,241,0,1,0,4058
242,242,0,1,0,3151
243,243,0,1,0,10427
244,244,0,1,0,13893
245,245,0,1,0,8338
246,246,0,1,0,2224
247,247,0,1,0,6071
248,248,0,1,0,13130
249,249,0,1,0,12343
250,250,0,0,0,4652
251,251,0,1,0,2782
252,252,0,1,0,9747
