Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,SIGNED
0,0,0,0,0,-2147
1,1,0,0,0,4596
2,2,0,0,0,-5643
3,3,0,0,0,6362
4,4,0,0,0,-4668
5,5,0,0,0,7557
6,6,0,0,0,-6135
7,7,0,0,0,7215
8,8,0,0,0,-3007
9,9,0,0,0,2518
10,10,0,0,0,-883
11,11,0,0,0,-787
12,12,0,0,0,3493
13,13,0,0,0,-1840
14,14,0,0,0,5158
15,15,0,0,0,-5039
16,16,0,0,0,6541
17,17,0,0,0,-4676
18,18,0,0,0,7359
19,19,0,0,0,-5756
20,20,0,0,0,6647
21,21,0,0,0,-3305
22,22,0,0,0,1702
23,23,0,0,0,-41
24,24,0,0,0,-591
25,25,0,0,0,3243
26,26,0,0,0,-4546
27,27,0,0,0,7699
28,28,0,0,0,-6391
29,29,0,0,0,7677
30,30,0,0,0,-4590
31,31,0,0,0,6034
32,32,0,0,0,-4232
33,33,0,0,0,3956
34,34,0,0,0,-481
35,35,0,0,0,1915
36,36,0,0,0,825
37,37,0,0,0,-2425
38,38,0,0,0,3978
39,39,0,0,0,-4121
40,40,0,0,0,8085
41,41,0,0,0,-6610
42,42,0,0,0,7671
43,43,0,0,0,-4407
44,44,0,0,0,5648
45,45,0,0,0,-4680
46,46,0,0,0,3254
47,47,0,0,0,-708
48,48,0,0,0,2097
49,49,0,0,0,1666
50,50,0,0,0,-2156
51,51,0,0,0,4602
52,52,0,0,0,-5641
53,53,0,0,0,6340
54,54,0,0,0,-4670
55,55,0,0,0,7556
56,56,0,0,0,-4103
57,57,0,0,0,5177
58,58,0,0,0,-3008
59,59,0,0,0,2511
60,60,0,0,0,-889
61,61,0,0,0,-795
62,62,0,0,0,3508
63,63,0,0,0,-1864
64,64,0,0,0,5180
65,65,0,0,0,-5048
66,66,0,0,0,6561
67,67,0,0,0,-4680
68,68,0,0,0,7371
69,69,0,0,0,-5748
70,70,0,0,0,6637
71,71,0,0,0,-3300
72,72,0,0,0,1709
73,73,0,0,0,-24
74,74,0,0,0,-617
75,75,0,0,0,3240
76,76,0,0,0,-4568
77,77,0,0,0,7700
78,78,0,0,0,-6398
79,79,0,0,0,7673
80,80,0,0,0,-4590
81,81,0,0,0,6033
82,82,0,0,0,-4212
83,83,0,0,0,3951
84,84,0,0,0,-486
85,85,0,0,0,1910
86,86,0,0,0,841
87,87,0,0,0,-2423
88,88,0,0,0,3962
89,89,0,0,0,-4124
90,90,0,0,0,8107
91,91,0,0,0,-6621
92,92,0,0,0,7671
93,93,0,0,0,-4385
94,94,0,0,0,5633
95,95,0,0,0,-4667
96,96,0,0,0,3237
97,97,0,0,0,-662
98,98,0,0,0,2086
99,99,0,0,0,1694
100,100,0,0,0,-2171
101,101,0,0,0,4617
102,102,0,0,0,-5662
103,103,0,0,0,6356
104,104,0,0,0,-4697
105,105,0,0,0,7579
106,106,0,0,0,-6143
107,107,0,0,0,7206
108,108,0,0,0,-4011
109,109,0,0,0,2491
110,110,0,0,0,-869
111,111,0,0,0,-814
112,112,0,0,0,3528
113,113,0,0,0,-1896
114,114,0,0,0,5203
115,115,0,0,0,-5036
116,116,0,0,0,6547
117,117,0,0,0,-4685
118,118,0,0,0,7357
119,119,0,0,0,-5738
120,120,0,0,0,6641
121,121,0,0,0,-3295
122,122,0,0,0,1699
123,123,0,0,0,1024
124,124,0,0,0,-1648
125,125,0,0,0,3269
126,126,0,0,0,-4587
127,127,0,0,0,7721
128,128,0,0,0,-6387
129,129,0,0,0,7665
130,130,0,0,0,-4577
131,131,0,0,0,6029
132,132,0,0,0,-4222
133,133,0,0,0,3934
134,134,0,0,0,-449
135,135,0,0,0,1877
136,136,0,0,0,846
137,137,0,0,0,-2434
138,138,0,0,0,3960
139,139,0,0,0,-4143
140,140,0,0,0,8125
141,141,0,0,0,-6607
142,142,0,0,0,7681
143,143,0,0,0,-4395
144,144,0,0,0,5630
145,145,0,0,0,-4666
146,146,0,0,0,3240
147,147,0,0,0,-674
148,148,0,0,0,2071
149,149,0,0,0,1699
150,150,0,0,0,-2195
151,151,0,0,0,4618
152,152,0,0,0,-5660
153,153,0,0,0,6364
154,154,0,0,0,-4706
155,155,0,0,0,7574
156,156,0,0,0,-6125
157,157,0,0,0,7181
158,158,0,0,0,-2975
159,159,0,0,0,2474
160,160,0,0,0,-858
161,161,0,0,0,-825
162,162,0,0,0,3518
163,163,0,0,0,-1879
164,164,0,0,0,5186
165,165,0,0,0,-5058
166,166,0,0,0,6553
167,167,0,0,0,-4690
168,168,0,0,0,7357
169,169,0,0,0,-5718
170,170,0,0,0,6621
171,171,0,0,0,-3264
172,172,0,0,0,1677
173,173,0,0,0,-7
174,174,0,0,0,-620
175,175,0,0,0,3284
176,176,0,0,0,-4595
177,177,0,0,0,7724
178,178,0,0,0,-6391
179,179,0,0,0,7673
180,180,0,0,0,-4587
181,181,0,0,0,6022
182,182,0,0,0,-4187
183,183,0,0,0,3930
184,184,0,0,0,-446
185,185,0,0,0,1871
186,186,0,0,0,880
187,187,0,0,0,-2461
188,188,0,0,0,3978
189,189,0,0,0,-4134
190,190,0,0,0,8117
191,191,0,0,0,-6609
192,192,0,0,0,7665
193,193,0,0,0,-4395
194,194,0,0,0,5614
195,195,0,0,0,-4633
196,196,0,0,0,3213
197,197,0,0,0,-654
198,198,0,0,0,2062
199,199,0,0,0,1711
200,200,0,0,0,-2192
201,201,0,0,0,4646
202,202,0,0,0,-5669
203,203,0,0,0,6358
204,204,0,0,0,-4675
205,205,0,0,0,7556
206,206,0,0,0,-6110
207,207,0,0,0,7175
208,208,0,0,0,-3994
209,209,0,0,0,2477
210,210,0,0,0,-847
211,211,0,0,0,-849
212,212,0,0,0,3549
213,213,0,0,0,-1896
214,214,0,0,0,5212
215,215,0,0,0,-5073
216,216,0,0,0,6574
217,217,0,0,0,-4690
218,218,0,0,0,7352
219,219,0,0,0,-5722
220,220,0,0,0,6628
221,221,0,0,0,-3283
222,222,0,0,0,1655
223,223,0,0,0,1028
224,224,0,0,0,-1658
225,225,0,0,0,3281
226,226,0,0,0,-4592
227,227,0,0,0,7724
228,228,0,0,0,-6408
229,229,0,0,0,7693
230,230,0,0,0,-4588
231,231,0,0,0,6014
232,232,0,0,0,-4195
233,233,0,0,0,3906
234,234,0,0,0,-429
235,235,0,0,0,1861
236,236,0,0,0,887
237,237,0,0,0,-2480
238,238,0,0,0,3998
239,239,0,0,0,-4152
240,240,0,0,0,8126
241,241,0,0,0,-6626
242,242,0,0,0,7678
243,243,0,0,0,-4383
244,244,0,0,0,5622
245,245,0,0,0,-4662
246,246,0,0,0,3238
247,247,0,0,0,-650
248,248,0,0,0,-10
249,249,0,0,0,3768
250,250,0,0,0,-2214
251,251,0,0,0,4660
252,252,0,0,0,-5682
253,253,0,0,0,6364
254,254,0,0,0,-4668
255,255,0,0,0,7570
256,256,0,0,0,-6138
257,257,0,0,0,7186
258,258,0,0,0,-3994
259,259,0,0,0,2463
260,260,0,0,0,-808
261,261,0,0,0,-842
262,262,0,0,0,3544
263,263,0,0,0,-1905
264,264,0,0,0,5204
265,265,0,0,0,-5076
266,266,0,0,0,6570
267,267,0,0,0,-4679
268,268,0,0,0,7335
269,269,0,0,0,-5713
270,270,0,0,0,6599
271,271,0,0,0,-3260
272,272,0,0,0,1664
273,273,0,0,0,1062
274,274,0,0,0,-1682
275,275,0,0,0,3278
276,276,0,0,0,-4605
277,277,0,0,0,7751
278,278,0,0,0,-6411
279,279,0,0,0,7680
280,280,0,0,0,-4588
281,281,0,0,0,6023
282,282,0,0,0,-4201
283,283,0,0,0,3919
284,284,0,0,0,-436
285,285,0,0,0,844
286,286,0,0,0,874
287,287,0,0,0,-2490
288,288,0,0,0,4013
289,289,0,0,0,-4153
290,290,0,0,0,8112
